,ACTION,TAXONOMY,PRICE_FORMING_CONTINUATION_DATA,CLEARED,INDICATION_OF_COLLATERALIZATION,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,z_PRICE_NOTATION,PRICE_NOTATION_BIN,z_ROUNDED_NOTIONAL_AMOUNT_1,ROUNDED_NOTIONAL_AMOUNT_1_BIN
176705,NEW,Credit:Index:CDX:CDXIG,Trade,C,UC,1.185,17000000.0,0.19760521642312126,"(0.721, 1.442]",0.7642224567115711,"(15400004.65, 17600004.6]"
176782,NEW,Credit:Index:CDX:CDXIG,Trade,U,UC,0.7476999999999999,13000000.0,0.21728303986554676,"(0.721, 1.442]",0.8354514701823118,"(11000004.75, 13200004.7]"
176794,NEW,Credit:Index:CDX:CDXIG,Trade,U,PC,0.75,75000000.0,0.21717954342393328,"(0.721, 1.442]",0.2685982386141697,"(74800003.3, 77000003.25]"
176847,NEW,Credit:Index:CDX:CDXIG,Trade,C,FC,0.5825,100000000.0,0.2247167842805678,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
176858,NEW,Credit:Index:CDX:CDXIG,Trade,U,PC,0.77,25000000.0,0.2162795743664247,"(0.721, 1.442]",0.6217644297700896,"(24200004.45, 26400004.4]"
176862,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.755,50000000.0,0.21695455115955614,"(0.721, 1.442]",0.17658309557795995,"(48400003.9, 50600003.85]"
176877,CANCEL,Credit:Index:CDX:CDXIG,Trade,U,PC,0.75,75000000.0,0.21717954342393328,"(0.721, 1.442]",0.2685982386141697,"(74800003.3, 77000003.25]"
176903,NEW,Credit:Index:CDX:CDXIG,Trade,U,FC,0.45125,5000000.0,0.23062283122046798,"(-0.0721, 0.721]",0.9779094971237934,"(4400004.9, 6600004.85]"
176904,NEW,Credit:Index:CDX:CDXIG,Trade,U,FC,0.5275,12000000.0,0.22719169918871643,"(-0.0721, 0.721]",0.853258723549997,"(11000004.75, 13200004.7]"
176909,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.745,50000000.0,0.21740453568831042,"(0.721, 1.442]",0.17658309557795995,"(48400003.9, 50600003.85]"
176926,NEW,Credit:Index:CDX:CDXIG,Trade,U,PC,0.7425,110000000.0,0.21751703182049903,"(0.721, 1.442]",0.8918521064831512,"(107800002.55, 110000002.5]"
176940,NEW,Credit:Index:CDX:CDXIG,Trade,U,FC,0.597,12000000.0,0.22406430671387406,"(-0.0721, 0.721]",0.853258723549997,"(11000004.75, 13200004.7]"
176956,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.74375,50000000.0,0.2174607837544047,"(0.721, 1.442]",0.17658309557795995,"(48400003.9, 50600003.85]"
176961,NEW,Credit:Index:CDX:CDXIG,Trade,C,UC,0.6,130000000.0,0.22392931135524777,"(-0.0721, 0.721]",1.2479971738368547,"(129800002.05, 132000002.0]"
176963,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.74375,50000000.0,0.2174607837544047,"(0.721, 1.442]",0.17658309557795995,"(48400003.9, 50600003.85]"
176979,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.74375,110000000.0,0.2174607837544047,"(0.721, 1.442]",0.8918521064831512,"(107800002.55, 110000002.5]"
177143,NEW,Credit:Index:CDX:CDXIG,Trade,C,FC,0.77,23000000.0,0.2162795743664247,"(0.721, 1.442]",0.65737893650546,"(22000004.5, 24200004.45]"
177147,NEW,Credit:Index:CDX:CDXIG,Trade,U,PC,0.7674,110000000.0,0.21639657034390078,"(0.721, 1.442]",0.8918521064831512,"(107800002.55, 110000002.5]"
177169,NEW,Credit:Index:CDX:CDXIG,Trade,U,PC,0.6972499999999999,110000000.0,0.2195532118131122,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
177202,NEW,Credit:Index:CDX:CDXIG,Trade,U,FC,0.7725,17000000.0,0.21616707823423612,"(0.721, 1.442]",0.7642224567115711,"(15400004.65, 17600004.6]"
177229,NEW,Credit:Index:CDX:CDXIG,Trade,C,FC,0.665,50000000.0,0.22100441191834483,"(-0.0721, 0.721]",0.17658309557795995,"(48400003.9, 50600003.85]"
177278,NEW,Credit:Index:CDX:CDXIG,Trade,C,UC,0.755,41000000.0,0.21695455115955614,"(0.721, 1.442]",0.3368483758871266,"(39600004.1, 41800004.05]"
177279,NEW,Credit:Index:CDX:CDXIG,Trade,C,UC,0.755,7000000.0,0.21695455115955614,"(0.721, 1.442]",0.942294990388423,"(6600004.85, 8800004.8]"
177280,CANCEL,Credit:Index:CDX:CDXIG,Trade,C,PC,0.755,50000000.0,0.21695455115955614,"(0.721, 1.442]",0.17658309557795995,"(48400003.9, 50600003.85]"
177301,CANCEL,Credit:Index:CDX:CDXIG,Trade,C,FC,0.74,110000000.0,0.21762952795268756,"(0.721, 1.442]",0.8918521064831512,"(107800002.55, 110000002.5]"
177307,NEW,Credit:Index:CDX:CDXIG,Trade,C,FC,0.74,110000000.0,0.21762952795268756,"(0.721, 1.442]",0.8918521064831512,"(107800002.55, 110000002.5]"
